date,oil prices
2004-01-01,5.738095238095237
2004-02-01,6.150812064965197
2004-03-01,7.827755905511811
2004-04-01,8.21590909090909
2004-05-01,15.630896226415093
2004-06-01,10.724110032362459
2004-07-01,10.22236503856041
2004-08-01,17.070833333333333
2004-09-01,14.385271317829456
2004-10-01,17.97608850820842
2004-11-01,16.672955974842765
2004-12-01,12.301624129930394
2005-01-01,8.607142857142856
2005-02-01,9.226218097447795
2005-03-01,15.655511811023622
2005-04-01,20.083333333333332
2005-05-01,16.672955974842765
2005-06-01,18.230987055016183
2005-07-01,20.44473007712082
2005-08-01,39.1625
2005-09-01,35.96317829457364
2005-10-01,22.70663811563169
2005-11-01,20.841194968553456
2005-12-01,14.351894818252127
2006-01-01,14.345238095238095
2006-02-01,16.40216550657386
2006-03-01,13.916010498687664
2006-04-01,23.734848484848484
2006-05-01,23.967374213836475
2006-06-01,17.158576051779935
2006-07-01,22.716366752356464
2006-08-01,23.09583333333333
2006-09-01,27.74302325581395
2006-10-01,20.814418272662383
2006-11-01,16.672955974842765
2006-12-01,11.276488785769528
2007-01-01,19.126984126984127
2007-02-01,15.377030162412993
2007-03-01,13.046259842519685
2007-04-01,14.606060606060606
2007-05-01,16.672955974842765
2007-06-01,11.796521035598705
2007-07-01,11.358183376178232
2007-08-01,12.05
2007-09-01,13.357751937984494
2007-10-01,16.083868665239116
2007-11-01,28.135613207547166
2007-12-01,16.40216550657386
2008-01-01,17.21428571428571
2008-02-01,15.377030162412993
2008-03-01,24.35301837270341
2008-04-01,25.56060606060606
2008-05-01,46.892688679245275
2008-06-01,55.76537216828479
2008-07-01,81.77892030848328
2008-08-01,66.275
2008-09-01,71.92635658914728
2008-10-01,87.04211277658814
2008-11-01,64.60770440251571
2008-12-01,59.45784996133024
2009-01-01,41.12301587301587
2009-02-01,30.754060324825986
2009-03-01,20.874015748031496
2009-04-01,15.518939393939393
2009-05-01,17.715015723270437
2009-06-01,20.375809061488674
2009-07-01,19.308911739502996
2009-08-01,15.0625
2009-09-01,16.440310077519378
2009-10-01,17.029978586723768
2009-11-01,13.546776729559745
2009-12-01,13.32675947409126
2010-01-01,14.345238095238095
2010-02-01,12.301624129930394
2010-03-01,9.567257217847768
2010-04-01,10.041666666666666
2010-05-01,14.58883647798742
2010-06-01,12.868932038834952
2010-07-01,9.086546700942586
2010-08-01,9.0375
2010-09-01,9.24767441860465
2010-10-01,9.461099214846538
2010-11-01,11.462657232704402
2010-12-01,12.301624129930394
2011-01-01,16.257936507936506
2011-02-01,27.678654292343385
2011-03-01,28.701771653543307
2011-04-01,24.647727272727273
2011-05-01,38.55621069182389
2011-06-01,24.665453074433657
2011-07-01,19.308911739502996
2011-08-01,30.125
2011-09-01,20.55038759689922
2011-10-01,19.86830835117773
2011-11-01,16.672955974842765
2011-12-01,17.427300850734724
2012-01-01,14.345238095238095
2012-02-01,19.477571539056456
2012-03-01,15.655511811023622
2012-04-01,12.78030303030303
2012-05-01,16.672955974842765
2012-06-01,20.375809061488674
2012-07-01,17.037275064267348
2012-08-01,12.05
2012-09-01,14.385271317829456
2012-10-01,15.13775874375446
2012-11-01,15.630896226415093
2012-12-01,11.276488785769528
2013-01-01,10.519841269841269
2013-02-01,11.276488785769528
2013-03-01,7.827755905511811
2013-04-01,8.21590909090909
2013-05-01,8.336477987421382
2013-06-01,7.506877022653722
2013-07-01,10.22236503856041
2013-08-01,9.0375
2013-09-01,9.24767441860465
2013-10-01,9.461099214846538
2013-11-01,11.462657232704402
2013-12-01,9.226218097447795
2014-01-01,9.563492063492063
2014-02-01,9.226218097447795
2014-03-01,6.958005249343832
2014-04-01,5.477272727272727
2014-05-01,5.210298742138364
2014-06-01,6.434466019417476
2014-07-01,6.81491002570694
2014-08-01,7.029166666666667
2014-09-01,9.24767441860465
2014-10-01,19.86830835117773
2014-11-01,27.09355345911949
2014-12-01,58.432714617169374
2015-01-01,63.11904761904761
2015-02-01,60.482985305491106
2015-03-01,33.92027559055118
2015-04-01,30.125
2015-05-01,29.17767295597484
2015-06-01,24.665453074433657
2015-07-01,37.482005141388164
2015-08-01,50.208333333333336
2015-09-01,40.07325581395348
2015-10-01,29.329407566024265
2015-11-01,28.135613207547166
2015-12-01,42.030549110595516
2016-01-01,68.85714285714285
2016-02-01,60.482985305491106
2016-03-01,42.61778215223097
2016-04-01,38.340909090909086
2016-05-01,37.51415094339622
2016-06-01,38.60679611650485
2016-07-01,30.667095115681228
2016-08-01,29.120833333333334
2016-09-01,26.715503875968988
2016-10-01,25.54496788008565
2016-11-01,28.135613207547166
2016-12-01,27.678654292343385
2017-01-01,21.039682539682538
2017-02-01,19.477571539056456
2017-03-01,17.39501312335958
2017-04-01,16.43181818181818
2017-05-01,18.75707547169811
2017-06-01,21.448220064724918
2017-07-01,20.44473007712082
2017-08-01,17.070833333333333
2017-09-01,15.412790697674417
2017-10-01,14.191648822269807
2017-11-01,17.715015723270437
2017-12-01,15.377030162412993
2018-01-01,19.126984126984127
2018-02-01,16.40216550657386
2018-03-01,11.306758530183727
2018-04-01,14.606060606060606
2018-05-01,20.841194968553456
2018-06-01,17.158576051779935
2018-07-01,17.037275064267348
2018-08-01,14.058333333333334
2018-09-01,13.357751937984494
2018-10-01,16.083868665239116
2018-11-01,23.967374213836475
2018-12-01,24.603248259860788
2019-01-01,19.126984126984127
2019-02-01,14.351894818252127
2019-03-01,11.306758530183727
2019-04-01,12.78030303030303
2019-05-01,12.504716981132074
2019-06-01,15.013754045307444
2019-07-01,13.62982005141388
2019-08-01,13.054166666666667
2019-09-01,21.577906976744185
2019-10-01,11.353319057815845
2019-11-01,11.462657232704402
2019-12-01,10.25135344160866
2020-01-01,15.3015873015873
2020-02-01,14.351894818252127
2020-03-01,62.62204724409449
2020-04-01,91.28787878787878
2020-05-01,33.34591194968553
2020-06-01,26.81027508090615
2020-07-01,17.037275064267348
