date,NASDAQ
2004-01-01,36.929889298892995
2004-02-01,31.104895104895107
2004-03-01,36.78796992481203
2004-04-01,31.136
2004-05-01,25.504587155963304
2004-06-01,26.577437858508606
2004-07-01,23.992495309568483
2004-08-01,26.093862815884478
2004-09-01,25.810444874274662
2004-10-01,25.181159420289855
2004-11-01,29.15355805243446
2004-12-01,31.6156862745098
2005-01-01,27.697416974169744
2005-02-01,27.21678321678322
2005-03-01,35.95187969924812
2005-04-01,31.136
2005-05-01,21.423853211009174
2005-06-01,24.45124282982792
2005-07-01,25.03564727954972
2005-08-01,23.08303249097473
2005-09-01,23.659574468085108
2005-10-01,23.166666666666668
2005-11-01,24.98876404494382
2005-12-01,25.074509803921565
2006-01-01,29.749077490774912
2006-02-01,27.21678321678322
2006-03-01,36.78796992481203
2006-04-01,24.9088
2006-05-01,24.48440366972477
2006-06-01,23.388145315487574
2006-07-01,20.863039399624768
2006-08-01,21.075812274368232
2006-09-01,21.50870406189555
2006-10-01,23.166666666666668
2006-11-01,22.906367041198504
2006-12-01,20.713725490196076
2007-01-01,21.542435424354245
2007-02-01,21.384615384615387
2007-03-01,18.393984962406016
2007-04-01,20.4608
2007-05-01,20.403669724770644
2007-06-01,20.19885277246654
2007-07-01,21.906191369606006
2007-08-01,20.072202166064983
2007-09-01,20.433268858800773
2007-10-01,22.159420289855074
2007-11-01,22.906367041198504
2007-12-01,20.713725490196076
2008-01-01,23.594095940959413
2008-02-01,16.524475524475527
2008-03-01,16.721804511278194
2008-04-01,16.0128
2008-05-01,16.322935779816515
2008-06-01,17.00956022944551
2008-07-01,17.733583489681052
2008-08-01,15.054151624548737
2008-09-01,26.88588007736944
2008-10-01,38.27536231884058
2008-11-01,23.947565543071164
2008-12-01,19.623529411764704
2009-01-01,16.41328413284133
2009-02-01,16.524475524475527
2009-03-01,19.230075187969923
2009-04-01,16.9024
2009-05-01,16.322935779816515
2009-06-01,17.00956022944551
2009-07-01,14.604127579737337
2009-08-01,14.050541516245488
2009-09-01,15.056092843326887
2009-10-01,14.10144927536232
2009-11-01,13.53558052434457
2009-12-01,14.172549019607843
2010-01-01,12.309963099630998
2010-02-01,11.664335664335665
2010-03-01,10.869172932330827
2010-04-01,12.4544
2010-05-01,15.302752293577983
2010-06-01,12.75717017208413
2010-07-01,13.560975609756099
2010-08-01,11.03971119133574
2010-09-01,10.754352030947775
2010-10-01,13.094202898550725
2010-11-01,13.53558052434457
2010-12-01,13.08235294117647
2011-01-01,15.387453874538746
2011-02-01,17.496503496503497
2011-03-01,13.377443609022556
2011-04-01,15.123199999999999
2011-05-01,15.302752293577983
2011-06-01,13.820267686424476
2011-07-01,13.560975609756099
2011-08-01,20.072202166064983
2011-09-01,13.980657640232108
2011-10-01,14.10144927536232
2011-11-01,13.53558052434457
2011-12-01,11.992156862745096
2012-01-01,12.309963099630998
2012-02-01,16.524475524475527
2012-03-01,11.705263157894738
2012-04-01,12.4544
2012-05-01,23.46422018348624
2012-06-01,14.88336520076482
2012-07-01,12.51782363977486
2012-08-01,11.03971119133574
2012-09-01,12.905222437137331
2012-10-01,13.094202898550725
2012-11-01,12.49438202247191
2012-12-01,11.992156862745096
2013-01-01,13.33579335793358
2013-02-01,12.636363636363637
2013-03-01,10.869172932330827
2013-04-01,11.5648
2013-05-01,13.262385321100918
2013-06-01,12.75717017208413
2013-07-01,13.560975609756099
2013-08-01,19.068592057761734
2013-09-01,13.980657640232108
2013-10-01,16.115942028985508
2013-11-01,15.61797752808989
2013-12-01,14.172549019607843
2014-01-01,16.41328413284133
2014-02-01,15.552447552447553
2014-03-01,13.377443609022556
2014-04-01,16.0128
2014-05-01,15.302752293577983
2014-06-01,14.88336520076482
2014-07-01,16.690431519699814
2014-08-01,14.050541516245488
2014-09-01,16.131528046421664
2014-10-01,19.13768115942029
2014-11-01,16.65917602996255
2014-12-01,16.352941176470587
2015-01-01,16.41328413284133
2015-02-01,16.524475524475527
2015-03-01,15.049624060150375
2015-04-01,16.0128
2015-05-01,16.322935779816515
2015-06-01,15.946462715105165
2015-07-01,18.77673545966229
2015-08-01,22.07942238267148
2015-09-01,19.357833655705996
2015-10-01,17.1231884057971
2015-11-01,15.61797752808989
2015-12-01,15.262745098039215
2016-01-01,16.41328413284133
2016-02-01,16.524475524475527
2016-03-01,11.705263157894738
2016-04-01,13.344
2016-05-01,13.262385321100918
2016-06-01,17.00956022944551
2016-07-01,14.604127579737337
2016-08-01,13.046931407942239
2016-09-01,13.980657640232108
2016-10-01,12.08695652173913
2016-11-01,20.823970037453186
2016-12-01,15.262745098039215
2017-01-01,16.41328413284133
2017-02-01,17.496503496503497
2017-03-01,15.049624060150375
2017-04-01,14.2336
2017-05-01,18.363302752293578
2017-06-01,21.261950286806886
2017-07-01,19.81988742964353
2017-08-01,19.068592057761734
2017-09-01,18.28239845261122
2017-10-01,19.13768115942029
2017-11-01,21.865168539325843
2017-12-01,21.803921568627448
2018-01-01,23.594095940959413
2018-02-01,29.160839160839163
2018-03-01,20.902255639097746
2018-04-01,22.24
2018-05-01,21.423853211009174
2018-06-01,23.388145315487574
2018-07-01,23.992495309568483
2018-08-01,23.08303249097473
2018-09-01,22.58413926499033
2018-10-01,30.217391304347828
2018-11-01,24.98876404494382
2018-12-01,27.254901960784313
2019-01-01,23.594095940959413
2019-02-01,20.412587412587413
2019-03-01,16.721804511278194
2019-04-01,19.571199999999997
2019-05-01,24.48440366972477
2019-06-01,22.325047801147228
2019-07-01,21.906191369606006
2019-08-01,25.09025270758123
2019-09-01,21.50870406189555
2019-10-01,20.144927536231883
2019-11-01,18.741573033707866
2019-12-01,20.713725490196076
2020-01-01,23.594095940959413
2020-02-01,29.160839160839163
2020-03-01,43.476691729323306
2020-04-01,29.3568
2020-05-01,28.5651376146789
2020-06-01,39.33460803059274
2020-07-01,41.726078799249535
2020-08-01,38.13718411552347
2020-09-01,51.620889748549324
2020-10-01,37.268115942028984
2020-11-01,39.56554307116105
2020-12-01,40.33725490196078
2021-01-01,44.110701107011074
2021-02-01,48.60139860139861
2021-03-01,56.018045112781955
2021-04-01,46.2592
2021-05-01,51.00917431192661
2021-06-01,47.83938814531549
2021-07-01,44.85553470919325
2021-08-01,40.144404332129966
2021-09-01,41.94197292069632
2021-10-01,38.27536231884058
2021-11-01,39.56554307116105
2021-12-01,42.51764705882353
2022-01-01,50.26568265682657
2022-02-01,48.60139860139861
2022-03-01,35.95187969924812
2022-04-01,33.8048
2022-05-01,55.08990825688074
2022-06-01,48.90248565965584
2022-07-01,39.63977485928706
2022-08-01,42.151624548736464
2022-09-01,40.866537717601545
2022-10-01,38.27536231884058
2022-11-01,37.48314606741573
2022-12-01,35.976470588235294
2023-01-01,34.87822878228783
2023-02-01,38.88111888111888
2023-03-01,33.44360902255639
2023-04-01,27.577599999999997
2023-05-01,35.706422018348626
2023-06-01,39.33460803059274
2023-07-01,36.51031894934334
2023-08-01,35.12635379061372
2023-09-01,31.18762088974855
2023-10-01,33.23913043478261
2023-11-01,32.27715355805244
2023-12-01,37.06666666666666
2024-01-01,35.90405904059041
2024-02-01,34.02097902097902
2024-03-01,29.263157894736842
2024-04-01,36.4736
2024-05-01,34.686238532110096
2024-06-01,36.14531548757171
2024-07-01,42.769230769230774
2024-08-01,53.191335740072205
2024-09-01,44.092843326885884
2024-10-01,36.26086956521739
2024-11-01,39.56554307116105
2024-12-01,41.42745098039215
2025-01-01,45.13653136531366
2025-02-01,42.769230769230774
2025-03-01,54.34586466165413
2025-04-01,88.96
2025-05-01,49.98899082568808
2025-06-01,46.77629063097515
2025-07-01,57.37335834896811
2025-08-01,50.18050541516246
2025-09-01,49.47001934235977
2025-10-01,52.3768115942029
2025-11-01,56.224719101123604
2025-12-01,58.870588235294115
