date,blue chip stocks
2004-01-01,22.419688295165397
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,26.548964218455744
2004-11-01,20.34690721649484
2004-12-01,26.907293796864348
2005-01-01,19.729325699745548
2005-02-01,22.207781978575927
2005-03-01,20.15080045740423
2005-04-01,15.725557742782152
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,17.981505102040817
2005-08-01,0.0
2005-09-01,21.6709142394822
2005-10-01,14.159447583176396
2005-11-01,19.378006872852232
2005-12-01,16.336571233810496
2006-01-01,13.451812977099237
2006-02-01,19.542848141146816
2006-03-01,22.56889651229274
2006-04-01,20.350721784776905
2006-05-01,17.526029526029525
2006-06-01,23.3728184991274
2006-07-01,14.385204081632654
2006-08-01,12.53111111111111
2006-09-01,15.96804207119741
2006-10-01,18.58427495291902
2006-11-01,18.40910652920962
2006-12-01,17.297546012269937
2007-01-01,16.142175572519086
2007-02-01,20.431159420289852
2007-03-01,15.314608347627216
2007-04-01,12.950459317585302
2007-05-01,13.144522144522144
2007-06-01,13.531631762652706
2007-07-01,15.583971088435376
2007-08-01,23.80911111111111
2007-09-01,20.530339805825243
2007-10-01,19.469240426867543
2007-11-01,11.626804123711338
2007-12-01,16.336571233810496
2008-01-01,20.626113231552164
2008-02-01,17.76622558286074
2008-03-01,13.702544311034877
2008-04-01,19.425688976377955
2008-05-01,15.335275835275834
2008-06-01,15.991928446771379
2008-07-01,15.583971088435376
2008-08-01,10.024888888888889
2008-09-01,31.93608414239482
2008-10-01,74.33709981167608
2008-11-01,37.78711340206185
2008-12-01,26.907293796864348
2009-01-01,21.52290076335878
2009-02-01,23.096093257718966
2009-03-01,30.62921669525443
2009-04-01,17.575623359580053
2009-05-01,25.193667443667444
2009-06-01,19.68237347294939
2009-07-01,16.782738095238095
2009-08-01,16.290444444444443
2009-09-01,19.389765372168284
2009-10-01,18.58427495291902
2009-11-01,17.440206185567007
2009-12-01,17.297546012269937
2010-01-01,16.142175572519086
2010-02-01,15.10129174543163
2010-03-01,14.508576329331046
2010-04-01,20.350721784776905
2010-05-01,19.716783216783217
2010-06-01,17.222076788830716
2010-07-01,14.385204081632654
2010-08-01,16.290444444444443
2010-09-01,19.389765372168284
2010-10-01,14.159447583176396
2010-11-01,21.315807560137454
2010-12-01,15.375596455351056
2011-01-01,19.729325699745548
2011-02-01,19.542848141146816
2011-03-01,19.344768439108062
2011-04-01,18.500656167979002
2011-05-01,18.62140637140637
2011-06-01,19.68237347294939
2011-07-01,15.583971088435376
2011-08-01,41.352666666666664
2011-09-01,18.249190938511326
2011-10-01,18.58427495291902
2011-11-01,18.40910652920962
2011-12-01,17.297546012269937
2012-01-01,21.52290076335878
2012-02-01,20.431159420289852
2012-03-01,14.508576329331046
2012-04-01,16.650590551181104
2012-05-01,18.62140637140637
2012-06-01,15.991928446771379
2012-07-01,16.782738095238095
2012-08-01,16.290444444444443
2012-09-01,18.249190938511326
2012-10-01,15.04441305712492
2012-11-01,15.502405498281785
2012-12-01,14.414621676891615
2013-01-01,15.24538804071247
2013-02-01,15.10129174543163
2013-03-01,15.314608347627216
2013-04-01,17.575623359580053
2013-05-01,23.002913752913752
2013-06-01,17.222076788830716
2013-07-01,16.782738095238095
2013-08-01,15.037333333333333
2013-09-01,15.96804207119741
2013-10-01,14.159447583176396
2013-11-01,18.40910652920962
2013-12-01,18.258520790729378
2014-01-01,21.52290076335878
2014-02-01,20.431159420289852
2014-03-01,18.53873642081189
2014-04-01,23.125820209973753
2014-05-01,24.098290598290596
2014-06-01,23.3728184991274
2014-07-01,22.7765731292517
2014-08-01,20.049777777777777
2014-09-01,20.530339805825243
2014-10-01,18.58427495291902
2014-11-01,21.315807560137454
2014-12-01,24.024369461486025
2015-01-01,20.626113231552164
2015-02-01,21.31947069943289
2015-03-01,19.344768439108062
2015-04-01,21.275754593175854
2015-05-01,26.289044289044288
2015-06-01,18.452225130890053
2015-07-01,20.37903911564626
2015-08-01,31.327777777777776
2015-09-01,26.23321197411003
2015-10-01,15.929378531073446
2015-11-01,21.315807560137454
2015-12-01,19.21949556918882
2016-01-01,19.729325699745548
2016-02-01,20.431159420289852
2016-03-01,19.344768439108062
2016-04-01,21.275754593175854
2016-05-01,20.81216006216006
2016-06-01,20.912521815008727
2016-07-01,22.7765731292517
2016-08-01,17.543555555555557
2016-09-01,18.249190938511326
2016-10-01,15.04441305712492
2016-11-01,18.40910652920962
2016-12-01,17.297546012269937
2017-01-01,19.729325699745548
2017-02-01,21.31947069943289
2017-03-01,20.9568324757004
2017-04-01,23.125820209973753
2017-05-01,26.289044289044288
2017-06-01,24.60296684118674
2017-07-01,37.16177721088436
2017-08-01,25.06222222222222
