date,stock market
2004-01-01,11.662790697674417
2004-02-01,10.585751978891821
2004-03-01,9.351981351981351
2004-04-01,9.602262837249782
2004-05-01,11.107419712070875
2004-06-01,9.484633569739954
2004-07-01,8.765293383270912
2004-08-01,8.655879180151025
2004-09-01,9.066666666666668
2004-10-01,8.548295454545455
2004-11-01,10.537726838586437
2004-12-01,10.383022774327122
2005-01-01,9.718992248062015
2005-02-01,9.703605980650835
2005-03-01,7.793317793317794
2005-04-01,8.729329852045257
2005-05-01,8.885935769656701
2005-06-01,8.29905437352246
2005-07-01,10.017478152309613
2005-08-01,7.573894282632147
2005-09-01,9.066666666666668
2005-10-01,8.548295454545455
2005-11-01,8.621776504297994
2005-12-01,8.306418219461698
2006-01-01,10.690891472868216
2006-02-01,8.82145998240985
2006-03-01,7.793317793317794
2006-04-01,8.729329852045257
2006-05-01,11.107419712070875
2006-06-01,9.484633569739954
2006-07-01,8.765293383270912
2006-08-01,7.573894282632147
2006-09-01,7.9333333333333345
2006-10-01,9.49810606060606
2006-11-01,8.621776504297994
2006-12-01,9.34472049689441
2007-01-01,9.718992248062015
2007-02-01,10.585751978891821
2007-03-01,10.131313131313131
2007-04-01,8.729329852045257
2007-05-01,9.996677740863788
2007-06-01,9.484633569739954
2007-07-01,13.774032459425717
2007-08-01,14.065803667745417
2007-09-01,10.200000000000001
2007-10-01,11.397727272727273
2007-11-01,12.453677172874881
2007-12-01,10.383022774327122
2008-01-01,15.550387596899224
2008-02-01,9.703605980650835
2008-03-01,10.131313131313131
2008-04-01,8.729329852045257
2008-05-01,9.996677740863788
2008-06-01,9.484633569739954
2008-07-01,11.269662921348313
2008-08-01,7.573894282632147
2008-09-01,29.466666666666672
2008-10-01,41.791666666666664
2008-11-01,20.117478510028654
2008-12-01,15.574534161490682
2009-01-01,11.662790697674417
2009-02-01,13.232189973614776
2009-03-01,15.586635586635587
2009-04-01,12.22106179286336
2009-05-01,12.218161683277964
2009-06-01,11.855791962174942
2009-07-01,10.017478152309613
2009-08-01,8.655879180151025
2009-09-01,10.200000000000001
2009-10-01,10.447916666666666
2009-11-01,9.579751671442216
2009-12-01,9.34472049689441
2010-01-01,8.747093023255813
2010-02-01,8.82145998240985
2010-03-01,7.793317793317794
2010-04-01,8.729329852045257
2010-05-01,15.550387596899228
2010-06-01,9.484633569739954
2010-07-01,8.765293383270912
2010-08-01,6.491909385113269
2010-09-01,9.066666666666668
2010-10-01,8.548295454545455
2010-11-01,8.621776504297994
2010-12-01,9.34472049689441
2011-01-01,9.718992248062015
2011-02-01,9.703605980650835
2011-03-01,8.572649572649572
2011-04-01,8.729329852045257
2011-05-01,8.885935769656701
2011-06-01,9.484633569739954
2011-07-01,10.017478152309613
2011-08-01,24.885652642934197
2011-09-01,12.466666666666669
2011-10-01,10.447916666666666
2011-11-01,9.579751671442216
2011-12-01,9.34472049689441
2012-01-01,8.747093023255813
2012-02-01,8.82145998240985
2012-03-01,7.013986013986014
2012-04-01,7.856396866840731
2012-05-01,9.996677740863788
2012-06-01,8.29905437352246
2012-07-01,7.513108614232209
2012-08-01,6.491909385113269
2012-09-01,7.9333333333333345
