date,bull market
2004-01-01,18.599149388623072
2004-02-01,20.505988786952088
2004-03-01,17.33490990990991
2004-04-01,24.07224770642202
2004-05-01,21.354962845010615
2004-06-01,16.50235849056604
2004-07-01,17.90168128654971
2004-08-01,16.625594025797692
2004-09-01,18.297594142259413
2004-10-01,17.92480409885473
2004-11-01,21.779003961516693
2004-12-01,15.627024008933557
2005-01-01,14.879319510898458
2005-02-01,19.61442405708461
2005-03-01,18.122860360360363
2005-04-01,24.9638124362895
2005-05-01,17.64105626326964
2005-06-01,18.70267295597484
2005-07-01,23.016447368421055
2005-08-01,22.5633061778683
2005-09-01,24.396792189679218
2005-10-01,21.088004822182036
2005-11-01,19.799094510469722
2005-12-01,21.48715801228364
2006-01-01,19.529106858054227
2006-02-01,23.180682976554536
2006-03-01,18.910810810810812
2006-04-01,20.505988786952088
2006-05-01,21.354962845010615
2006-06-01,19.802830188679245
2006-07-01,21.73775584795322
2006-08-01,17.813136456211815
2006-09-01,18.297594142259413
2006-10-01,20.033604581072936
2006-11-01,17.81918505942275
2006-12-01,19.533780011166947
2007-01-01,16.739234449760765
2007-02-01,23.180682976554536
2007-03-01,17.33490990990991
2007-04-01,16.93972986748216
2007-05-01,21.354962845010615
2007-06-01,18.70267295597484
2007-07-01,23.016447368421055
2007-08-01,26.12593346911066
2007-09-01,23.17695258019526
2007-10-01,24.251205545509343
2007-11-01,22.76895868704018
2007-12-01,21.48715801228364
2008-01-01,26.968766613503455
2008-02-01,23.180682976554536
2008-03-01,19.698761261261264
2008-04-01,21.39755351681957
2008-05-01,21.354962845010615
2008-06-01,22.00314465408805
2008-07-01,33.245979532163744
2008-08-01,19.000678886625934
2008-09-01,30.495990237099026
2008-10-01,47.44801084990958
2008-11-01,30.68859649122807
2008-12-01,23.440536013400333
2009-01-01,22.31897926634769
2009-02-01,24.9638124362895
2009-03-01,25.214414414414417
2009-04-01,32.096330275229356
2009-05-01,31.5682059447983
2009-06-01,24.203459119496856
2009-07-01,23.016447368421055
2009-08-01,26.12593346911066
2009-09-01,30.495990237099026
2009-10-01,24.251205545509343
2009-11-01,22.76895868704018
2009-12-01,21.48715801228364
2010-01-01,21.389021796916534
2010-02-01,21.39755351681957
2010-03-01,20.486711711711713
2010-04-01,23.180682976554536
2010-05-01,26.92582271762208
2010-06-01,19.802830188679245
2010-07-01,21.73775584795322
2010-08-01,19.000678886625934
2010-09-01,24.396792189679218
2010-10-01,23.19680530440024
2010-11-01,22.76895868704018
2010-12-01,18.5570910106086
2011-01-01,20.45906432748538
2011-02-01,23.180682976554536
2011-03-01,21.274662162162166
2011-04-01,20.505988786952088
2011-05-01,19.498009554140125
2011-06-01,18.70267295597484
2011-07-01,20.459064327485383
2011-08-01,28.5010183299389
2011-09-01,23.17695258019526
2011-10-01,24.251205545509343
2011-11-01,17.81918505942275
2011-12-01,17.58040201005025
2012-01-01,19.529106858054227
2012-02-01,21.39755351681957
2012-03-01,17.33490990990991
2012-04-01,17.831294597349643
2012-05-01,19.498009554140125
2012-06-01,17.60251572327044
2012-07-01,17.90168128654971
2012-08-01,16.625594025797692
2012-09-01,20.737273361227338
2012-10-01,18.979204339963832
2012-11-01,17.81918505942275
2012-12-01,16.603713009491905
2013-01-01,22.31897926634769
2013-02-01,22.289118246687053
2013-03-01,22.062612612612615
2013-04-01,22.289118246687053
2013-05-01,24.140392781316347
2013-06-01,17.60251572327044
2013-07-01,16.622989766081872
2013-08-01,19.000678886625934
2013-09-01,19.517433751743376
2013-10-01,21.088004822182036
2013-11-01,22.76895868704018
2013-12-01,20.51046901172529
2014-01-01,21.389021796916534
2014-02-01,21.39755351681957
2014-03-01,22.850563063063067
2014-04-01,23.180682976554536
2014-05-01,22.283439490445858
2014-06-01,22.00314465408805
2014-07-01,24.295138888888893
2014-08-01,21.375763747454176
2014-09-01,25.61663179916318
2014-10-01,25.305605786618443
2014-11-01,24.74886813808715
2014-12-01,24.41722501395868
2015-01-01,25.108851674641148
2015-02-01,23.180682976554536
2015-03-01,24.42646396396397
2015-04-01,24.07224770642202
2015-05-01,25.997346072186836
2015-06-01,22.00314465408805
2015-07-01,24.295138888888893
2015-08-01,38.00135777325187
2015-09-01,31.715829846582984
2015-10-01,26.360006027727543
2015-11-01,26.728777589134125
2015-12-01,26.37060301507538
2016-01-01,36.26834130781499
2016-02-01,31.204765545361877
2016-03-01,27.578265765765767
2016-04-01,26.746941896024463
2016-05-01,25.06886942675159
2016-06-01,22.00314465408805
2016-07-01,26.852521929824565
2016-08-01,21.375763747454176
2016-09-01,23.17695258019526
2016-10-01,21.088004822182036
2016-11-01,28.708687040181097
2016-12-01,25.39391401451703
2017-01-01,26.968766613503455
2017-02-01,26.746941896024463
2017-03-01,30.73006756756757
2017-04-01,25.85537716615698
2017-05-01,25.997346072186836
2017-06-01,22.00314465408805
2017-07-01,28.1312134502924
2017-08-01,23.750848608282418
2017-09-01,26.836471408647142
2017-10-01,28.46880650994575
2017-11-01,31.678551216751554
2017-12-01,34.184115019542155
2018-01-01,41.84808612440192
2018-02-01,37.44571865443425
2018-03-01,29.15416666666667
2018-04-01,27.638506625891946
2018-05-01,22.283439490445858
2018-06-01,22.00314465408805
2018-07-01,26.852521929824565
2018-08-01,58.18957909029192
2018-09-01,34.15550906555091
2018-10-01,36.904008438818565
2018-11-01,32.66850594227504
2018-12-01,46.881072026800666
2019-01-01,31.618553960659224
2019-02-01,24.9638124362895
2019-03-01,26.002364864864866
2019-04-01,26.746941896024463
2019-05-01,23.211916135881104
2019-06-01,22.00314465408805
