date,401k
2004-01-01,36.335050935797206
2004-02-01,29.651179941002948
2004-03-01,29.988947653919173
2004-04-01,30.8680206588498
2004-05-01,30.040654356980884
2004-06-01,34.71289537712895
2004-07-01,31.772772988505746
2004-08-01,32.58745947539051
2004-09-01,34.4925959504382
2004-10-01,31.41646022570878
2004-11-01,37.774944258639906
2004-12-01,35.62999474237645
2005-01-01,32.11004501303009
2005-02-01,35.390117994100294
2005-03-01,34.82587469487388
2005-04-01,31.863763260748183
2005-05-01,34.6622934888241
2005-06-01,36.88245133819951
2005-07-01,36.897413793103446
2005-08-01,35.741084585912176
2005-09-01,35.5704895738894
2005-10-01,31.41646022570878
2005-11-01,35.78678929765886
2005-12-01,40.318151945320714
2006-01-01,43.09506041222459
2006-02-01,37.30309734513274
2006-03-01,39.66280173582859
2006-04-01,36.842476270240084
2006-05-01,38.128522837706505
2006-06-01,34.71289537712895
2006-07-01,34.847557471264366
2006-08-01,37.84350132625995
2006-09-01,38.80417044424298
2006-10-01,43.19763281034957
2006-11-01,40.75717670011148
2006-12-01,45.943940588853835
2007-01-01,44.78506278133143
2007-02-01,41.129056047197636
2007-03-01,40.63018714401952
2007-04-01,44.80841708542713
2007-05-01,45.06098153547133
2007-06-01,44.47589720194647
2007-07-01,49.19655172413793
2007-08-01,42.048334806955495
2007-09-01,44.19363856149894
2007-10-01,46.14292595650977
2007-11-01,46.72164158305463
2007-12-01,44.06867770767613
2008-01-01,44.78506278133143
2008-02-01,38.259587020648965
2008-03-01,40.63018714401952
2008-04-01,39.829704075935226
2008-05-01,40.43934240362811
2008-06-01,37.96722931873479
2008-07-01,39.97219827586207
2008-08-01,35.741084585912176
2008-09-01,56.05046841946208
2008-10-01,66.75997797963116
2008-11-01,50.69795150501672
2008-12-01,41.25578338590957
2009-01-01,40.56005685856432
2009-02-01,41.129056047197636
2009-03-01,46.43449959316517
2009-04-01,39.829704075935226
2009-05-01,42.750161969549715
2009-06-01,41.22156326034063
2009-07-01,40.997126436781606
2009-08-01,44.15075154730327
2009-09-01,44.19363856149894
2009-10-01,43.19763281034957
2009-11-01,42.74533166109253
2009-12-01,43.13104626708728
2010-01-01,42.250059227671166
2010-02-01,40.17256637168141
2010-03-01,48.369270409547056
2010-04-01,46.799902289223894
2010-05-01,43.905571752510525
2010-06-01,42.30634124087591
2010-07-01,38.947270114942526
2010-08-01,40.99712643678161
2010-09-01,40.95995769114536
2010-10-01,45.16116157445637
2010-11-01,40.75717670011148
2010-12-01,42.193414826498426
2011-01-01,47.32006633499171
2011-02-01,48.78097345132743
2011-03-01,45.46711418497423
2011-04-01,48.79138749302066
2011-05-01,45.06098153547133
2011-06-01,44.47589720194647
2011-07-01,48.17162356321839
2011-08-01,51.50921013852049
2011-09-01,40.95995769114536
2011-10-01,39.27057528213597
2011-11-01,35.78678929765886
2011-12-01,36.5676261829653
2012-01-01,43.09506041222459
2012-02-01,45.911504424778755
2012-03-01,41.597572552210465
2012-04-01,41.82118927973199
2012-05-01,42.750161969549715
2012-06-01,42.30634124087591
2012-07-01,39.97219827586207
2012-08-01,38.894709696433836
2012-09-01,44.19363856149894
2012-10-01,42.21586842829617
2012-11-01,43.73940914158305
2012-12-01,41.25578338590957
2013-01-01,49.01006870409855
2013-02-01,45.911504424778755
2013-03-01,48.369270409547056
2013-04-01,48.79138749302066
2013-05-01,57.77048914804016
2013-06-01,46.64545316301703
2013-07-01,48.17162356321839
2013-08-01,46.25316828765105
2013-09-01,48.50521305530372
2013-10-01,52.033512248830164
2013-11-01,49.70387402452619
2013-12-01,46.881572029442694
2014-01-01,49.855069888651975
2014-02-01,51.650442477876105
2014-03-01,52.23881204231082
2014-04-01,53.770100502512555
2014-05-01,54.30425979915775
2014-06-01,53.15412104622871
2014-07-01,56.37104885057471
2014-08-01,52.560418508694376
2014-09-01,54.97257479601088
2014-10-01,50.069983484723366
2014-11-01,54.674261426978816
2014-12-01,52.507360672975814
2015-01-01,50.7000710732054
2015-02-01,54.519911504424776
2015-03-01,52.23881204231082
2015-04-01,56.7573283082077
2015-05-01,55.45966958211855
2015-06-01,54.23889902676399
2015-07-01,57.39597701149425
2015-08-01,58.8676687297377
2015-09-01,50.661000302206105
2015-10-01,49.08821910266997
2015-11-01,47.71571906354515
2015-12-01,47.819203470031546
2016-01-01,45.63006396588486
2016-02-01,44.95501474926253
2016-03-01,48.369270409547056
2016-04-01,50.782872696817414
2016-05-01,43.905571752510525
2016-06-01,52.06934306569343
2016-07-01,49.19655172413793
2016-08-01,48.35558502799882
2016-09-01,47.427319431852524
2016-10-01,43.19763281034957
2016-11-01,48.70979654403567
2016-12-01,45.943940588853835
2017-01-01,51.545072257758825
2017-02-01,52.60693215339233
2017-03-01,56.10835367507458
2017-04-01,54.76584310441094
2017-05-01,57.77048914804016
2017-06-01,55.32367700729927
2017-07-01,52.27133620689655
2017-08-01,54.662835249042146
2017-09-01,52.8167875491085
2017-10-01,62.83292045141756
2017-11-01,57.65649386845039
2017-12-01,56.25788643533123
2018-01-01,63.37508884150675
2018-02-01,61.21533923303834
2018-03-01,55.14096826688364
2018-04-01,53.770100502512555
2018-05-01,58.925898931000965
2018-06-01,59.66278892944039
2018-07-01,62.52061781609195
2018-08-01,63.07250221043325
2018-09-01,58.20625566636446
2018-10-01,60.86939168731076
2018-11-01,53.68018394648829
2018-12-01,54.382623554153525
2019-01-01,57.460080549632785
2019-02-01,64.08480825958702
2019-03-01,63.847436940602115
2019-04-01,65.71901172529313
2019-05-01,68.16917719468739
2019-06-01,66.17145681265207
2019-07-01,64.57047413793103
2019-08-01,59.91887709991158
2019-09-01,61.439936536718044
2019-10-01,59.88762730525736
2019-11-01,63.62095875139353
2019-12-01,62.82130651945321
2020-01-01,71.82510068704099
2020-02-01,69.82374631268436
2020-03-01,74.48867643070247
2020-04-01,60.740298715801224
2020-05-01,62.39212827988337
2020-06-01,66.17145681265207
2020-07-01,65.59540229885057
2020-08-01,64.12371058060714
2020-09-01,65.75151103052282
2020-10-01,61.85115606936416
2020-11-01,62.626881270903006
2020-12-01,67.50946372239747
2021-01-01,69.29009713338071
2021-02-01,70.78023598820059
2021-03-01,63.847436940602115
2021-04-01,68.70623953098827
2021-05-01,68.16917719468739
2021-06-01,67.25623479318735
2021-07-01,60.47076149425287
2021-08-01,66.22612732095492
2021-09-01,64.67361740707163
2021-10-01,58.90586292320396
2021-11-01,68.59134615384615
2021-12-01,60.9460436382755
2022-01-01,67.60009476427386
2022-02-01,70.78023598820059
2022-03-01,69.65174938974776
2022-04-01,73.68495254048017
2022-05-01,68.16917719468739
2022-06-01,69.4257907542579
2022-07-01,62.52061781609195
2022-08-01,68.32854406130268
2022-09-01,63.595723783620436
2022-10-01,61.85115606936416
2022-11-01,61.63280379041248
2022-12-01,66.57183228180862
2023-01-01,71.82510068704099
2023-02-01,72.69321533923303
2023-03-01,68.68436398155681
2023-04-01,71.69346733668341
2023-05-01,69.3245869776482
2023-06-01,72.68012469586374
2023-07-01,74.81975574712644
2023-08-01,74.63579428234601
2023-09-01,70.06308552432759
2023-10-01,68.72350674373796
2023-11-01,71.57357859531773
2023-12-01,81.57393533123029
2024-01-01,81.96511490168206
2024-02-01,85.12758112094394
2024-03-01,85.12991592080282
2024-04-01,75.67643774427694
2024-05-01,82.03409459021702
2024-06-01,79.18879257907543
2024-07-01,78.9194683908046
2024-08-01,80.94304450338933
2024-09-01,79.76412813538833
2024-10-01,79.52291494632534
2024-11-01,85.49066332218506
2024-12-01,87.1997239747634
2025-01-01,84.50011845534233
2025-02-01,87.04056047197639
2025-03-01,83.19514510442093
2025-04-01,92.6040619765494
2025-05-01,79.72327502429542
2025-06-01,87.86701642335765
2025-07-01,95.31831896551724
2025-08-01,91.4551282051282
2025-09-01,91.62095799335147
2025-10-01,91.30408753096614
2025-11-01,88.47289576365662
2025-12-01,88.13735541535226
