date,IRA account
2004-01-01,20.648575305291722
2004-02-01,17.406209150326795
2004-03-01,20.193736730360932
2004-04-01,15.727915578764142
2004-05-01,14.604606525911706
2004-06-01,15.58238815374921
2004-07-01,15.411747685185183
2004-08-01,13.66068222621185
2004-09-01,14.275797373358348
2004-10-01,14.286106296938186
2004-11-01,19.011316872427983
2004-12-01,15.487667624521071
2005-01-01,15.486431478968791
2005-02-01,18.23507625272331
2005-03-01,23.42473460721868
2005-04-01,16.55570060922541
2005-05-01,15.821657069737682
2005-06-01,17.979678638941397
2005-07-01,17.613425925925924
2005-08-01,19.35263315380012
2005-09-01,16.655096935584737
2005-10-01,15.385037550548816
2005-11-01,13.419753086419753
2005-12-01,18.220785440613025
2006-01-01,19.788218000904568
2006-02-01,18.23507625272331
2006-03-01,19.385987261146497
2006-04-01,17.383485639686683
2006-05-01,15.821657069737682
2006-06-01,14.383742911153117
2006-07-01,15.411747685185183
2006-08-01,14.799072411729504
2006-09-01,15.465447154471544
2006-10-01,15.385037550548816
2006-11-01,15.656378600823045
2006-12-01,15.487667624521071
2007-01-01,19.788218000904568
2007-02-01,17.406209150326795
2007-03-01,16.962738853503183
2007-04-01,19.866840731070496
2007-05-01,14.604606525911706
2007-06-01,15.58238815374921
2007-07-01,17.613425925925924
2007-08-01,17.075852782764812
2007-09-01,15.465447154471544
2007-10-01,19.780762564991335
2007-11-01,16.77469135802469
2007-12-01,17.309746168582375
2008-01-01,18.067503392130256
2008-02-01,17.406209150326795
2008-03-01,17.770488322717622
2008-04-01,19.866840731070496
2008-05-01,15.821657069737682
2008-06-01,15.58238815374921
2008-07-01,15.411747685185183
2008-08-01,14.799072411729504
2008-09-01,19.03439649781113
2008-10-01,20.879693818601964
2008-11-01,13.419753086419753
2008-12-01,12.754549808429118
2009-01-01,14.626074174581635
2009-02-01,14.919607843137253
2009-03-01,16.154989384288747
2009-04-01,16.55570060922541
2009-05-01,13.38755598208573
2009-06-01,14.383742911153117
2009-07-01,13.210069444444443
2009-08-01,15.937462597247158
2009-09-01,15.465447154471544
2009-10-01,15.385037550548816
2009-11-01,15.656378600823045
2009-12-01,13.66558908045977
2010-01-01,14.626074174581635
2010-02-01,15.748474945533767
2010-03-01,17.770488322717622
2010-04-01,17.383485639686683
2010-05-01,15.821657069737682
2010-06-01,13.185097668557026
2010-07-01,13.210069444444443
2010-08-01,13.66068222621185
2010-09-01,13.086147592245151
2010-10-01,13.187175043327557
2010-11-01,13.419753086419753
2010-12-01,13.66558908045977
2011-01-01,14.626074174581635
2011-02-01,17.406209150326795
2011-03-01,16.962738853503183
2011-04-01,19.039055700609225
2011-05-01,15.821657069737682
2011-06-01,16.781033396345304
2011-07-01,15.411747685185183
2011-08-01,15.937462597247158
2011-09-01,13.086147592245151
2011-10-01,14.286106296938186
2011-11-01,14.538065843621398
2011-12-01,12.754549808429118
2012-01-01,16.346788783355947
2012-02-01,17.406209150326795
