date,stock market today
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.989795918367347
2007-03-01,0.6830985915492959
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,1.1901840490797546
2007-08-01,1.005181347150259
2007-09-01,0.0
2007-10-01,1.0898876404494382
2007-11-01,1.0
2007-12-01,1.0718232044198897
2008-01-01,1.1479289940828403
2008-02-01,0.989795918367347
2008-03-01,0.6830985915492959
2008-04-01,0.7637795275590552
2008-05-01,1.0777777777777777
2008-06-01,1.096045197740113
2008-07-01,1.1901840490797546
2008-08-01,1.005181347150259
2008-09-01,6.10062893081761
2008-10-01,11.98876404494382
2008-11-01,8.0
2008-12-01,6.430939226519338
2009-01-01,5.739644970414202
2009-02-01,5.938775510204082
2009-03-01,7.514084507042255
2009-04-01,4.5826771653543314
2009-05-01,6.466666666666667
2009-06-01,5.480225988700566
2009-07-01,5.950920245398773
2009-08-01,5.025906735751295
2009-09-01,6.10062893081761
2009-10-01,6.539325842696629
2009-11-01,5.0
2009-12-01,4.287292817679559
2010-01-01,5.739644970414202
2010-02-01,5.938775510204082
2010-03-01,4.098591549295775
2010-04-01,4.5826771653543314
2010-05-01,10.777777777777777
2010-06-01,8.768361581920905
2010-07-01,7.141104294478527
2010-08-01,5.025906735751295
2010-09-01,4.880503144654088
2010-10-01,4.359550561797753
2010-11-01,4.0
2010-12-01,4.287292817679559
2011-01-01,4.591715976331361
2011-02-01,3.959183673469388
2011-03-01,2.7323943661971835
2011-04-01,3.055118110236221
2011-05-01,3.2333333333333334
2011-06-01,4.384180790960452
2011-07-01,4.7607361963190185
2011-08-01,16.082901554404145
2011-09-01,7.320754716981131
2011-10-01,4.359550561797753
2011-11-01,4.0
2011-12-01,3.215469613259669
2012-01-01,3.443786982248521
2012-02-01,2.969387755102041
2012-03-01,2.0492957746478875
2012-04-01,2.2913385826771657
2012-05-01,3.2333333333333334
2012-06-01,3.288135593220339
2012-07-01,3.5705521472392636
2012-08-01,2.010362694300518
2012-09-01,2.440251572327044
2012-10-01,2.1797752808988764
2012-11-01,3.0
2012-12-01,2.1436464088397793
2013-01-01,2.2958579881656807
2013-02-01,1.979591836734694
2013-03-01,1.3661971830985917
2013-04-01,1.5275590551181104
2013-05-01,2.1555555555555554
2013-06-01,2.192090395480226
2013-07-01,2.3803680981595092
2013-08-01,2.010362694300518
2013-09-01,2.440251572327044
2013-10-01,2.1797752808988764
2013-11-01,2.0
2013-12-01,2.1436464088397793
2014-01-01,3.443786982248521
2014-02-01,2.969387755102041
2014-03-01,1.3661971830985917
2014-04-01,2.2913385826771657
2014-05-01,2.1555555555555554
2014-06-01,2.192090395480226
2014-07-01,2.3803680981595092
2014-08-01,2.010362694300518
2014-09-01,2.440251572327044
2014-10-01,4.359550561797753
2014-11-01,2.0
2014-12-01,3.215469613259669
2015-01-01,3.443786982248521
2015-02-01,1.979591836734694
2015-03-01,1.3661971830985917
2015-04-01,2.2913385826771657
2015-05-01,2.1555555555555554
2015-06-01,2.192090395480226
2015-07-01,4.7607361963190185
2015-08-01,12.062176165803109
2015-09-01,7.320754716981131
2015-10-01,3.2696629213483144
2015-11-01,3.0
2015-12-01,3.215469613259669
2016-01-01,9.183431952662723
2016-02-01,4.948979591836736
2016-03-01,2.7323943661971835
2016-04-01,2.2913385826771657
2016-05-01,3.2333333333333334
2016-06-01,5.480225988700566
2016-07-01,3.5705521472392636
2016-08-01,2.010362694300518
2016-09-01,3.6603773584905657
2016-10-01,2.1797752808988764
2016-11-01,7.0
2016-12-01,4.287292817679559
2017-01-01,4.591715976331361
2017-02-01,3.959183673469388
2017-03-01,2.7323943661971835
2017-04-01,2.2913385826771657
2017-05-01,3.2333333333333334
2017-06-01,3.288135593220339
2017-07-01,3.5705521472392636
2017-08-01,4.020725388601036
2017-09-01,3.6603773584905657
2017-10-01,4.359550561797753
2017-11-01,5.0
2017-12-01,5.359116022099448
2018-01-01,8.035502958579883
2018-02-01,19.795918367346943
2018-03-01,6.830985915492959
2018-04-01,6.110236220472442
2018-05-01,6.466666666666667
2018-06-01,6.576271186440678
2018-07-01,7.141104294478527
2018-08-01,6.0310880829015545
2018-09-01,6.10062893081761
2018-10-01,11.98876404494382
2018-11-01,9.0
2018-12-01,19.292817679558013
2019-01-01,12.627218934911244
2019-02-01,6.928571428571429
2019-03-01,4.098591549295775
2019-04-01,5.346456692913386
2019-05-01,9.7
2019-06-01,7.6723163841807915
2019-07-01,8.331288343558283
2019-08-01,16.082901554404145
2019-09-01,8.540880503144654
2019-10-01,8.719101123595506
2019-11-01,7.0
2019-12-01,8.574585635359117
2020-01-01,11.479289940828403
2020-02-01,25.734693877551024
2020-03-01,68.30985915492958
2020-04-01,28.259842519685044
2020-05-01,24.788888888888888
2020-06-01,30.689265536723166
2020-07-01,23.803680981595093
2020-08-01,14.072538860103627
2020-09-01,25.62264150943396
2020-10-01,22.8876404494382
2020-11-01,23.0
2020-12-01,18.220994475138124
2021-01-01,30.99408284023669
2021-02-01,23.75510204081633
2021-03-01,12.978873239436622
2021-04-01,13.748031496062994
2021-05-01,19.4
2021-06-01,16.440677966101696
2021-07-01,20.233128834355828
2021-08-01,14.072538860103627
2021-09-01,20.742138364779873
2021-10-01,17.43820224719101
2021-11-01,18.0
2021-12-01,24.651933701657462
2022-01-01,25.25443786982249
2022-02-01,26.72448979591837
2022-03-01,16.3943661971831
2022-04-01,15.275590551181104
2022-05-01,34.48888888888889
2022-06-01,36.16949152542373
2022-07-01,23.803680981595093
2022-08-01,19.098445595854923
2022-09-01,30.50314465408805
2022-10-01,23.97752808988764
2022-11-01,21.0
2022-12-01,20.364640883977902
2023-01-01,19.514792899408285
2023-02-01,16.8265306122449
2023-03-01,14.345070422535214
2023-04-01,11.456692913385828
2023-05-01,16.166666666666664
2023-06-01,18.632768361581924
2023-07-01,16.662576687116566
2023-08-01,14.072538860103627
2023-09-01,13.421383647798741
2023-10-01,16.348314606741575
2023-11-01,15.0
2023-12-01,16.077348066298345
2024-01-01,16.071005917159766
2024-02-01,12.867346938775512
2024-03-01,9.563380281690142
2024-04-01,11.456692913385828
2024-05-01,12.933333333333334
2024-06-01,13.152542372881356
2024-07-01,17.85276073619632
2024-08-01,30.155440414507773
2024-09-01,18.30188679245283
2024-10-01,15.258426966292134
2024-11-01,23.0
2024-12-01,19.292817679558013
2025-01-01,26.40236686390533
2025-02-01,24.744897959183675
2025-03-01,34.15492957746479
2025-04-01,76.37795275590553
2025-05-01,32.33333333333333
2025-06-01,26.305084745762713
2025-07-01,35.70552147239264
2025-08-01,28.145077720207254
2025-09-01,24.40251572327044
2025-10-01,30.51685393258427
2025-11-01,34.0
2025-12-01,27.86740331491713
