date,margin account
2004-01-01,11.501102292768959
2004-02-01,7.149049881235154
2004-03-01,0.0
2004-04-01,10.693556201550388
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,9.999169435215947
2004-09-01,8.984328358208955
2004-10-01,10.693556201550388
2004-11-01,0.0
2004-12-01,6.4310897435897445
2005-01-01,10.616402116402115
2005-02-01,5.560372129849565
2005-03-01,7.452181987000929
2005-04-01,0.0
2005-05-01,6.4310897435897445
2005-06-01,7.502938034188035
2005-07-01,0.0
2005-08-01,6.666112956810632
2005-09-01,9.982587064676618
2005-10-01,6.804990310077519
2005-11-01,7.881874298540965
2005-12-01,7.502938034188035
2006-01-01,7.077601410934744
2006-02-01,6.3547110055423595
2006-03-01,7.452181987000929
2006-04-01,9.72141472868217
2006-05-01,7.502938034188035
2006-06-01,6.4310897435897445
2006-07-01,4.488814317673378
2006-08-01,8.888150609080842
2006-09-01,7.986069651741294
2006-10-01,6.804990310077519
2006-11-01,5.629910213243546
2006-12-01,6.4310897435897445
2007-01-01,5.308201058201058
2007-02-01,5.560372129849565
2007-03-01,8.383704735376046
2007-04-01,8.749273255813954
2007-05-01,6.4310897435897445
2007-06-01,8.574786324786325
2007-07-01,10.099832214765101
2007-08-01,11.110188261351052
2007-09-01,7.986069651741294
2007-10-01,9.72141472868217
2007-11-01,11.259820426487092
2007-12-01,8.574786324786325
2008-01-01,7.962301587301587
2008-02-01,9.53206650831354
2008-03-01,9.315227483751162
2008-04-01,10.693556201550388
2008-05-01,7.502938034188035
2008-06-01,8.574786324786325
2008-07-01,12.34423937360179
2008-08-01,9.999169435215947
2008-09-01,11.97910447761194
2008-10-01,16.52640503875969
2008-11-01,11.259820426487092
2008-12-01,12.862179487179489
2009-01-01,7.077601410934744
2009-02-01,7.943388756927949
2009-03-01,11.178272980501394
2009-04-01,12.637839147286822
2009-05-01,9.646634615384617
2009-06-01,10.718482905982906
2009-07-01,11.222035794183444
2009-08-01,8.888150609080842
2009-09-01,7.986069651741294
2009-10-01,9.72141472868217
2009-11-01,10.133838383838384
2009-12-01,8.574786324786325
2010-01-01,7.962301587301587
2010-02-01,7.943388756927949
2010-03-01,7.452181987000929
2010-04-01,8.749273255813954
2010-05-01,9.646634615384617
2010-06-01,7.502938034188035
2010-07-01,7.855425055928412
2010-08-01,7.777131782945737
2010-09-01,6.987810945273632
2010-10-01,6.804990310077519
2010-11-01,7.881874298540965
2010-12-01,7.502938034188035
2011-01-01,7.962301587301587
2011-02-01,10.326405384006334
2011-03-01,9.315227483751162
2011-04-01,8.749273255813954
2011-05-01,8.574786324786325
2011-06-01,7.502938034188035
2011-07-01,8.977628635346756
2011-08-01,11.110188261351052
2011-09-01,9.982587064676618
2011-10-01,9.72141472868217
2011-11-01,10.133838383838384
2011-12-01,8.574786324786325
2012-01-01,7.962301587301587
2012-02-01,8.737727632620745
2012-03-01,8.383704735376046
2012-04-01,8.749273255813954
2012-05-01,10.718482905982906
2012-06-01,8.574786324786325
2012-07-01,8.977628635346756
2012-08-01,7.777131782945737
2012-09-01,8.984328358208955
2012-10-01,8.749273255813954
2012-11-01,7.881874298540965
2012-12-01,7.502938034188035
2013-01-01,8.84700176366843
2013-02-01,7.149049881235154
2013-03-01,8.383704735376046
2013-04-01,7.7771317829457365
2013-05-01,10.718482905982906
2013-06-01,7.502938034188035
2013-07-01,8.977628635346756
2013-08-01,9.999169435215947
2013-09-01,9.982587064676618
2013-10-01,9.72141472868217
2013-11-01,10.133838383838384
2013-12-01,9.646634615384617
2014-01-01,9.731701940035272
2014-02-01,10.326405384006334
2014-03-01,11.178272980501394
2014-04-01,9.72141472868217
2014-05-01,10.718482905982906
2014-06-01,9.646634615384617
2014-07-01,10.099832214765101
2014-08-01,9.999169435215947
2014-09-01,10.98084577114428
2014-10-01,10.693556201550388
2014-11-01,10.133838383838384
2014-12-01,9.646634615384617
2015-01-01,8.84700176366843
2015-02-01,10.326405384006334
2015-03-01,11.178272980501394
2015-04-01,10.693556201550388
2015-05-01,9.646634615384617
2015-06-01,11.790331196581198
2015-07-01,12.34423937360179
2015-08-01,13.332225913621263
2015-09-01,12.977363184079604
2015-10-01,11.665697674418604
2015-11-01,11.259820426487092
2015-12-01,9.646634615384617
2016-01-01,8.84700176366843
2016-02-01,11.12074425969913
2016-03-01,12.10979572887651
2016-04-01,11.665697674418604
2016-05-01,11.790331196581198
2016-06-01,11.790331196581198
2016-07-01,12.34423937360179
2016-08-01,9.999169435215947
2016-09-01,11.97910447761194
2016-10-01,9.72141472868217
2016-11-01,12.385802469135802
2016-12-01,11.790331196581198
2017-01-01,10.616402116402115
2017-02-01,13.503760886777513
2017-03-01,12.10979572887651
2017-04-01,11.665697674418604
2017-05-01,11.790331196581198
2017-06-01,11.790331196581198
2017-07-01,11.222035794183444
2017-08-01,9.999169435215947
2017-09-01,11.97910447761194
2017-10-01,11.665697674418604
2017-11-01,13.511784511784512
2017-12-01,13.934027777777779
2018-01-01,10.616402116402115
2018-02-01,11.915083135391924
2018-03-01,12.10979572887651
2018-04-01,9.72141472868217
2018-05-01,10.718482905982906
2018-06-01,11.790331196581198
2018-07-01,12.34423937360179
2018-08-01,12.221207087486158
2018-09-01,13.975621890547265
2018-10-01,13.609980620155039
2018-11-01,11.259820426487092
2018-12-01,9.646634615384617
2019-01-01,10.616402116402115
2019-02-01,11.12074425969913
2019-03-01,10.246750232126278
2019-04-01,11.665697674418604
2019-05-01,12.862179487179489
2019-06-01,11.790331196581198
2019-07-01,12.34423937360179
2019-08-01,11.110188261351052
2019-09-01,12.977363184079604
2019-10-01,12.637839147286822
2019-11-01,12.385802469135802
2019-12-01,11.790331196581198
2020-01-01,12.3858024691358
2020-02-01,15.886777513855899
2020-03-01,40.055478180129995
2020-04-01,36.94137596899225
2020-05-01,37.51469017094017
2020-06-01,48.23317307692308
2020-07-01,41.521532438478744
2020-08-01,37.77464008859358
2020-09-01,32.94253731343284
2020-10-01,25.275678294573645
2020-11-01,28.149551066217732
2020-12-01,37.51469017094017
2021-01-01,88.47001763668429
2021-02-01,77.05087094220112
2021-03-01,44.713091922005574
2021-04-01,44.718507751937985
2021-05-01,53.592414529914535
2021-06-01,39.65838675213676
2021-07-01,28.055089485458613
2021-08-01,23.331395348837212
2021-09-01,25.954726368159207
2021-10-01,32.080668604651166
2021-11-01,33.77946127946128
2021-12-01,25.724358974358978
2022-01-01,25.656305114638446
2022-02-01,25.418844022169438
2022-03-01,27.945682451253486
2022-04-01,24.303536821705425
2022-05-01,24.652510683760685
2022-06-01,21.436965811965813
2022-07-01,21.321868008948545
2022-08-01,23.331395348837212
2022-09-01,21.96169154228856
2022-10-01,21.387112403100776
2022-11-01,16.88973063973064
2022-12-01,17.14957264957265
2023-01-01,17.69400352733686
2023-02-01,19.06413301662708
2023-03-01,20.493500464252556
2023-04-01,19.44282945736434
2023-05-01,19.293269230769234
2023-06-01,20.365117521367523
2023-07-01,22.44407158836689
2023-08-01,21.109357696567
2023-09-01,20.963432835820896
2023-10-01,20.41497093023256
2023-11-01,19.141694725028056
2023-12-01,21.436965811965813
2024-01-01,20.34810405643739
2024-02-01,24.624505146476643
2024-03-01,27.01415970287837
2024-04-01,24.303536821705425
2024-05-01,25.724358974358978
2024-06-01,26.796207264957268
2024-07-01,25.810682326621922
2024-08-01,26.664451827242527
2024-09-01,24.956467661691544
2024-10-01,26.24781976744186
2024-11-01,30.40151515151515
2024-12-01,30.01175213675214
2025-01-01,28.310405643738974
2025-02-01,27.80186064924782
2025-03-01,27.945682451253486
2025-04-01,33.05281007751938
2025-05-01,28.939903846153847
2025-06-01,36.44284188034188
2025-07-01,51.621364653243845
2025-08-01,43.329734219269106
2025-09-01,41.92686567164179
2025-10-01,43.74636627906977
2025-11-01,52.92115600448933
2025-12-01,52.520566239316246
